mmsi1,mmsi2,distance_km,sog1,cog1,cog_diff_1,sog_diff_1,lat_rad_1,lon_rad_1,length_1,vessel_type_1,sog2,cog2,cog_diff_2,sog_diff_2,lat_rad_2,lon_rad_2,length_2,vessel_type_2,TCPA,DCPA,tcpa_type,base_date_time,movement_state,anomaly_dcpa_tcpa
205670000.0,367626680.0,34.86061160926169,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.1,245.3,,,0.592940183181258,-2.0673950333977684,30.0,37.0,0.8775082716048969,0.5845451014923024,dynamic,2025-06-01,anchored,False
205670000.0,367632370.0,21.21005067988409,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,81.9,,,0.5907126194569376,-2.066392690808348,13.0,37.0,0.0,0.3697371137375559,static,2025-06-01,anchored,False
205670000.0,367644720.0,35.090213749606214,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,312.2,,,0.5930117416805897,-2.0673592541481023,14.0,36.0,0.0,0.6106609271052348,static,2025-06-01,anchored,False
205670000.0,367655170.0,6.8965264341623165,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,9.6,51.1,,,0.5880677475084655,-2.0641647780181773,22.0,34.0,-0.0067595406202825,0.0001574906947279,dynamic,2025-06-01,moving,False
205670000.0,367661930.0,6.036991087429218,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,232.0,,,0.5886807071417659,-2.064292012520648,24.0,52.0,0.0,0.1054799479359151,static,2025-06-01,anchored,False
205670000.0,367672140.0,6.586356258712963,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,57.4,,,0.5885866338950833,-2.0643829441746764,25.0,60.0,0.0,0.1150632772394353,static,2025-06-01,anchored,False
205670000.0,367676150.0,9.042443671579742,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,179.4,,,0.5891275114302763,-2.0615099576929685,10.0,37.0,0.0,0.1579234204971767,static,2025-06-01,anchored,False
205670000.0,367678850.0,29.495488087412827,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,227.2,,,0.5918072899637884,-2.067341975388508,24.0,31.0,0.0,0.5138628118242099,static,2025-06-01,anchored,False
205670000.0,367682780.0,9.084213953423731,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,324.8,,,0.5890271549982867,-2.061473480311602,17.0,37.0,0.0,0.1586879190234999,static,2025-06-01,anchored,False
205670000.0,367691660.0,9.04879172940312,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,241.3,,,0.5890278531299875,-2.06148046162861,15.0,30.0,0.0,0.158068630064639,static,2025-06-01,anchored,False
205670000.0,367724740.0,19.141067439276384,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,16.1,301.9,,,0.5869123395436452,-2.060300793587187,25.0,60.0,-0.0111339802322947,0.0328762494525895,dynamic,2025-06-01,moving,False
205670000.0,367732440.0,13.286521994343593,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,149.9,,,0.588495353175204,-2.060667312730106,20.0,37.0,0.0,0.232130913275299,static,2025-06-01,anchored,False
205670000.0,367766860.0,2.557122765641793,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,265.8,,,0.5891018550902721,-2.0633910735607683,21.0,31.0,0.0,0.0444510881358353,static,2025-06-01,anchored,False
205670000.0,368010330.0,4.199125466561247,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,351.7,,,0.5894095566373986,-2.063198040145498,28.0,52.0,0.0,0.0728780841233617,static,2025-06-01,anchored,False
205670000.0,368010360.0,35.10631536357487,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.1,150.0,,,0.5930585165045432,-2.067294502432853,16.0,36.0,-3.2599039027215,0.0932210164912618,dynamic,2025-06-01,anchored,False
205670000.0,368014440.0,6.76718295130356,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.4,190.0,,,0.5876905818571094,-2.063220729425774,22.0,30.0,0.1573380763516673,0.0144463753874219,dynamic,2025-06-01,anchored,False
205670000.0,368021110.0,3.5664075836091667,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.1,309.2,,,0.589247939148664,-2.062844960037819,15.0,36.0,0.0669730772483697,0.0607318200250554,dynamic,2025-06-01,anchored,False
